;Preço_hoje;Liquidez_media;P/L;P/VP;Dy 12m 2021;Dl/Pl_hoje;Lpa_2020;Lpa_2019;Setor;Sub_setor
CSRN3;16,00;27.802,00;5,53;1,81;13,61%;1,08;2,03;1,63;Utilidade Pública;Energia Elétrica
CSRN5;15,83;11.799,50;5,47;1,79;15,14%;1,08;2,03;1,63;Utilidade Pública;Energia Elétrica
CSRN6;17,17;4.162,50;5,93;1,95;13,95%;1,08;2,03;1,63;Utilidade Pública;Energia Elétrica
CTCA3;0,00;-;0,00;0,00;-%;-0,36;135,18;58,19;Consumo não Cíclico;Agropecuária
CTKA3;26,70;5.890,17;3,13;-1,13;-%;-;12,97;-2,00;Consumo Cíclico;Tecidos. Vestuário e Calçados
CTKA4;19,00;51.545,45;2,22;-0,80;-%;-;12,97;-2,00;Consumo Cíclico;Tecidos. Vestuário e Calçados
CTNM3;9,10;3.380,00;-4,76;0,35;-%;1,48;-6,84;-1,83;Consumo Cíclico;Tecidos. Vestuário e Calçados
CTNM4;3,64;56.893,96;-1,90;0,14;-%;1,48;-6,84;-1,83;Consumo Cíclico;Tecidos. Vestuário e Calçados
CTSA3;1,95;33.122,40;11,31;0,68;-%;0,60;-0,03;0,27;Consumo Cíclico;Tecidos. Vestuário e Calçados
CTSA4;1,41;34.613,88;8,18;0,49;-%;0,60;-0,03;0,27;Consumo Cíclico;Tecidos. Vestuário e Calçados
CTSA8;0,00;-;0,00;0,00;-%;0,60;-0,03;0,27;Consumo Cíclico;Tecidos. Vestuário e Calçados
CURY3;6,90;5.496.536,56;19,49;3,31;8,19%;-0,27;0,55;-;Consumo Cíclico;Construção Civil
CVCB3;14,69;167.787.353,48;55,22;6,36;-%;0,43;-6,92;0,30;Consumo Cíclico;Viagens e Lazer
CYRE3;15,19;120.148.769,20;6,34;0,98;17,43%;0,19;4,40;1,04;Consumo Cíclico;Construção Civil
DASA3;35,50;8.106.940,96;-536,95;2,62;0,80%;0,43;-0,31;0,40;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
DIRR3;11,87;18.922.739,24;11,45;1,47;5,81%;0,25;0,74;0,66;Consumo Cíclico;Construção Civil
DMMO3;0,61;3.423.739,00;1,40;-0,27;-%;-;-1,07;-0,47;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
DMVF3;5,08;484.316,20;32,37;0,31;-%;-0,07;0,00;-;Saúde;Comércio e Distribuição
DOHL3;17,51;4.806,50;9,75;1,89;1,06%;0,00;1,11;0,53;Consumo Cíclico;Tecidos. Vestuário e Calçados
DOHL4;6,11;39.188,24;3,40;0,66;3,35%;0,00;1,11;0,53;Consumo Cíclico;Tecidos. Vestuário e Calçados
DTCY3;7,40;8.532,92;-18,63;52,94;-%;-0,27;0,03;-1,39;Bens Industriais;Serviços
DTCY4;62,60;-;-157,61;447,82;-%;-0,27;0,03;-1,39;Bens Industriais;Serviços
DTEX3;20,63;53.730.506,85;8,79;2,11;4,08%;0,28;0,66;0,59;Materiais Básicos;Madeira e Papel
EALT3;11,80;7.392,69;9,00;1,37;2,36%;0,47;1,12;0,75;Bens Industriais;Máquinas e Equipamentos
EALT4;5,99;140.480,80;4,57;0,69;5,11%;0,47;1,12;0,75;Bens Industriais;Máquinas e Equipamentos
ECOR3;8,81;58.253.878,28;-22,54;2,91;-%;3,56;-0,76;-0,33;Bens Industriais;Transporte
ECPR3;79,89;15.978,00;-23,40;1,06;-%;0,00;-29,13;-9,31;Consumo Cíclico;Tecidos. Vestuário e Calçados
ECPR4;85,80;43.866,67;-25,13;1,14;-%;0,00;-29,13;-9,31;Consumo Cíclico;Tecidos. Vestuário e Calçados
EEEL3;375,00;36.500,00;8,24;1,90;10,09%;0,05;28,87;40,41;Utilidade Pública;Energia Elétrica
EEEL4;350,00;35.000,00;7,69;1,77;14,72%;0,05;28,87;40,41;Utilidade Pública;Energia Elétrica
EGIE3;39,31;53.971.454,88;12,75;4,07;6,64%;1,85;3,43;2,83;Utilidade Pública;Energia Elétrica
EKTR3;36,08;3.608,00;9,18;2,41;8,93%;1,25;3,06;2,55;Utilidade Pública;Energia Elétrica
EKTR4;24,80;81.304,15;6,31;1,66;14,28%;1,25;3,06;2,55;Utilidade Pública;Energia Elétrica
