;Preço_hoje;Liquidez_media;P/L;P/VP;Dy 12m 2021;Dl/Pl_hoje;Lpa_2020;Lpa_2019;Setor;Sub_setor
MNDL3;35,46;184.420,96;2,25;-0,76;-%;-;-3,61;-4,18;Consumo Cíclico;Tecidos. Vestuário e Calçados
MNPR3;7,08;110.954,36;5,84;-0,14;-%;-;2,33;-4,65;Consumo não Cíclico;Alimentos Processados
MOAR3;431,00;1.677.277,21;8,53;3,99;9,03%;-0,11;-0,76;8,17;Financeiro e Outros;Holdings Diversificadas
MOVI3;17,78;38.932.910,24;8,87;2,03;2,22%;1,80;0,36;0,86;Consumo Cíclico;Diversos
MRFG3;21,25;171.238.805,04;3,02;3,02;7,55%;2,95;4,64;0,35;Consumo não Cíclico;Alimentos Processados
MRSA3B;38,70;5.505,00;15,30;2,66;0,74%;0,39;1,27;1,48;Bens Industriais;Transporte
MRSA5B;45,43;9.086,00;17,96;3,12;0,70%;0,39;1,27;1,48;Bens Industriais;Transporte
MRSA6B;35,00;-;13,83;2,41;0,90%;0,39;1,27;1,48;Bens Industriais;Transporte
MRVE3;11,57;65.103.834,00;7,97;0,93;5,53%;0,62;1,14;1,55;Consumo Cíclico;Construção Civil
MSPA3;48,50;19.400,00;-9,34;0,39;-%;0,07;-8,56;-5,71;Consumo Cíclico;Mídia
MSPA4;46,00;18.400,00;-8,85;0,37;-%;0,07;-8,56;-5,71;Consumo Cíclico;Mídia
MSRO3;702,50;-;2.759,27;319,27;-%;2,71;0,04;0,53;Consumo Cíclico;Diversos
MTIG3;0,00;-;0,00;0,00;-%;-;-64,96;56,82;Materiais Básicos;Embalagens
MTIG4;44,20;93.465,11;-2,61;-0,29;-%;-;-64,96;56,82;Materiais Básicos;Embalagens
MTRE3;7,00;5.068.036,12;20,96;0,75;8,07%;-0,28;0,46;-;Consumo Cíclico;Construção Civil
MTSA3;64,20;9.450,00;11,20;1,89;3,20%;-0,02;6,26;1,97;Bens Industriais;Máquinas e Equipamentos
MTSA4;41,29;128.507,48;7,20;1,22;5,47%;-0,02;6,26;1,97;Bens Industriais;Máquinas e Equipamentos
MULT3;20,07;168.521.586,32;31,21;1,87;2,27%;0,31;1,60;0,78;Financeiro e Outros;Exploração de Imóveis
MWET3;22,50;8.383,60;0,27;-0,96;-%;-;12,09;-;Bens Industriais;Material de Transporte
MWET4;16,98;37.268,74;0,20;-0,73;-%;-;12,09;-;Bens Industriais;Material de Transporte
MYPK3;15,37;25.695.993,00;7,53;0,58;-%;1,13;-3,20;2,22;Consumo Cíclico;Automóveis e Motocicletas
NAFG3;64,37;-;11,80;2,76;-%;0,48;5,46;5,46;Consumo Cíclico;Utilidades Domésticas
NAFG4;19,02;-;3,49;0,82;-%;0,48;5,46;5,46;Consumo Cíclico;Utilidades Domésticas
NEMO3;0,00;-;0,00;0,00;-%;15,65;-16,99;-4,45;Materiais Básicos;Madeira e Papel
NEMO5;52,97;-;2,75;2,45;-%;15,65;-16,99;-4,45;Materiais Básicos;Madeira e Papel
NEMO6;0,00;-;0,00;0,00;-%;15,65;-16,99;-4,45;Materiais Básicos;Madeira e Papel
NEOE3;17,81;40.896.246,56;5,05;0,91;2,95%;1,25;2,31;1,84;Utilidade Pública;Energia Elétrica
NGRD3;2,93;6.923.074,48;33,80;1,48;0,42%;-0,48;0,05;-;Tecnologia da Informação;Programas e Serviços
NORD3;13,18;7.366,86;-87,80;-0,62;-%;-;-0,10;-0,05;Bens Industriais;Máquinas e Equipamentos
NRTQ3;0,00;-;0,00;0,00;-%;-0,02;2,48;1,33;Saúde;Medicamentos e Outros Produtos
NTCO3;27,06;440.136.194,24;70,44;1,34;-%;0,26;-0,47;0,57;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza
NUTR3;253,00;25.300,00;7,60;1,58;-%;0,50;26,82;269,31;Materiais Básicos;Químicos
ODER4;187,62;37.500,00;14,79;5,97;0,24%;0,37;10,52;1,83;Consumo não Cíclico;Alimentos Processados
ODPV3;12,20;19.608.491,36;17,20;5,74;3,87%;-0,30;0,68;0,54;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
OFSA3;25,11;456.479,56;12,56;2,13;1,69%;0,22;1,66;0,86;Saúde;Comércio e Distribuição
OGXP3;1,63;-;-2,15;-0,98;-%;-;-0,76;-351,89;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
OIBR3;0,86;73.040.322,56;-1,05;5,34;-%;26,49;-1,77;-1,51;Comunicações;Telecomunicações
OIBR4;1,37;1.323.807,00;-1,68;8,51;-%;26,49;-1,77;-1,51;Comunicações;Telecomunicações
OMGE3;27,90;47.378.335,64;-32,37;1,60;-%;1,49;0,25;0,20;Utilidade Pública;Energia Elétrica
OSXB3;9,28;454.257,96;-0,07;-0,01;-%;-;-276,44;-180,29;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
PARD3;20,87;8.505.098,08;12,61;3,18;1,67%;0,08;0,97;1,21;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
PATI3;69,88;40.960,75;5,05;1,90;3,39%;0,30;9,99;0,98;Materiais Básicos;Siderurgia e Metalurgia
PATI4;59,00;21.800,67;4,26;1,61;4,02%;0,30;9,99;0,98;Materiais Básicos;Siderurgia e Metalurgia
PCAR3;22,53;65.567.105,56;3,76;0,46;9,66%;0,40;8,12;2,96;Consumo não Cíclico;Comércio e Distribuição
PCAR4;72,11;-;12,03;1,47;-%;0,40;8,12;2,96;Consumo não Cíclico;Comércio e Distribuição
PDGR3;1,49;2.297.624,76;-0,21;-0,02;-%;-;-56,36;-111,57;Consumo Cíclico;Construção Civil
PDTC3;5,30;1.126.150,08;11,83;3,20;-%;0,05;0,22;0,33;Financeiro e Outros;Serviços Financeiros Diversos
PEAB3;79,50;21.918,50;3,76;1,25;14,21%;-0,55;36,15;3,55;Financeiro e Outros;Holdings Diversificadas
PEAB4;70,00;33.146,55;3,31;1,10;17,75%;-0,55;36,15;3,55;Financeiro e Outros;Holdings Diversificadas
PETR3;31,19;652.640.459,64;3,01;1,10;18,13%;0,71;0,54;3,08;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
PETR4;29,36;2.508.793.774,28;2,84;1,04;19,25%;0,71;0,54;3,08;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
PETZ3;19,72;130.463.843,08;118,98;14,66;0,27%;0,23;0,16;-;Consumo Cíclico;Comércio
PFRM3;5,16;1.171.920,20;6,74;0,58;5,24%;0,40;0,42;0,10;Saúde;Comércio e Distribuição
PGMN3;8,42;10.113.263,28;20,65;1,80;-%;0,22;0,22;-0,02;Saúde;Comércio e Distribuição
PINE3;0,00;-;0,00;0,00;-%;-;-0,48;-0,95;Financeiro e Outros;Intermediários Financeiros
PINE4;1,78;306.098,12;-5,40;0,34;-%;-;-0,48;-0,95;Financeiro e Outros;Intermediários Financeiros
PLAS3;11,00;5.787,06;-1,20;-0,48;-%;-;-9,42;-0,55;Consumo Cíclico;Automóveis e Motocicletas
PLPL3;3,30;3.322.609,00;6,25;2,05;5,93%;0,30;0,65;-;Consumo Cíclico;Construção Civil
PMAM3;9,62;4.195.745,76;-0,90;-0,53;-%;-;-19,85;5,45;Materiais Básicos;Siderurgia e Metalurgia
PNVL3;13,18;11.122.746,00;25,12;1,93;1,16%;0,47;0,37;17,00;Saúde;Comércio e Distribuição
PNVL4;18,62;83.188,67;35,48;2,72;0,88%;0,47;0,37;17,00;Saúde;Comércio e Distribuição
POMO3;2,34;863.436,76;5,07;0,78;3,85%;0,41;0,11;0,21;Bens Industriais;Material de Transporte
POMO4;2,74;11.760.645,72;5,94;0,91;3,28%;0,41;0,11;0,21;Bens Industriais;Material de Transporte
POSI3;10,15;38.073.040,92;4,69;1,21;3,36%;0,29;1,35;0,19;Tecnologia da Informação;Computadores e Equipamentos
PPAR3;14,60;-;-33,76;0,02;-%;-0,05;-1,28;6,15;Financeiro e Outros;Outros
PPLA11;6,45;5.063,67;-864,50;-;-%;-;-0,01;-0,04;Financeiro e Outros;Serviços Financeiros Diversos
PRIO3;21,93;505.922.482,36;17,99;3,39;-%;-0,09;3,13;4,53;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
PRNR3;7,17;865.883,16;11,25;1,21;-%;-0,10;-0,06;-0,06;Bens Industriais;Serviços
PSSA3;22,15;52.230.366,04;10,10;1,58;11,79%;-0,93;5,22;4,27;Financeiro e Outros;Previdência e Seguros
PTBL3;9,45;12.352.339,84;7,11;3,73;11,94%;1,31;0,81;0,08;Bens Industriais;Construção e Engenharia
PTCA11;0,00;-;0,00;0,00;-%;0,40;1,31;2,15;Bens Industriais;Máquinas e Equipamentos
PTCA3;0,00;-;0,00;0,00;-%;0,40;1,31;2,15;Bens Industriais;Máquinas e Equipamentos
PTNT3;20,36;256.061,04;19,72;2,86;1,00%;0,32;1,11;-0,05;Consumo Cíclico;Tecidos. Vestuário e Calçados
PTNT4;6,14;165.083,08;5,95;0,86;3,30%;0,32;1,11;-0,05;Consumo Cíclico;Tecidos. Vestuário e Calçados
QUAL3;16,59;39.314.400,12;12,38;2,82;13,21%;0,61;1,38;1,39;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
QUSW3;0,00;-;0,00;0,00;-%;0,12;11,69;2,55;Tecnologia da Informação;Programas e Serviços
QVQP3B;0,00;-;0,00;0,00;-%;-0,94;0,00;0,00;Financeiro e Outros;Outros
RADL3;23,28;183.165.640,44;51,74;8,09;1,08%;0,28;0,29;2,34;Saúde;Comércio e Distribuição
RAIL3;17,29;239.253.598,32;59,77;2,11;-%;0,75;0,16;0,50;Bens Industriais;Transporte
RANI3;7,16;10.483.354,56;7,18;1,93;4,94%;0,29;0,36;-0,48;Materiais Básicos;Madeira e Papel
RANI4;5,50;644.391,25;5,52;1,48;-%;0,29;0,36;-0,48;Materiais Básicos;Madeira e Papel
RAPT3;13,07;145.469,80;4,37;1,79;4,97%;0,85;1,92;0,85;Bens Industriais;Material de Transporte
RAPT4;10,88;27.688.221,92;3,63;1,49;5,97%;0,85;1,92;0,85;Bens Industriais;Material de Transporte
RCSL3;3,88;18.300.831,28;-454,71;-6,73;-%;-;-0,02;-0,05;Bens Industriais;Material de Transporte
RCSL4;1,35;2.078.247,00;-158,21;-2,34;-%;-;-0,02;-0,05;Bens Industriais;Material de Transporte
RDNI3;9,86;209.707,92;22,39;0,69;0,10%;0,77;0,03;0,04;Consumo Cíclico;Construção Civil
RDOR3;49,20;130.112.392,20;68,33;6,92;2,77%;0,96;0,22;-;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
REDE3;6,36;10.384,78;9,01;3,62;15,37%;2,06;0,43;0,35;Utilidade Pública;Energia Elétrica
RENT3;53,89;379.145.245,48;20,40;5,48;0,74%;0,97;1,38;1,15;Consumo Cíclico;Diversos
RLOG3;23,08;105.214.775,75;82,76;4,26;-%;5,71;0,28;0,46;Bens Industriais;Transporte
RNEW11;7,19;100 %;2,27;-0,32;-%;-;1,61;-7,29;Utilidade Pública;Energia Elétrica
RNEW3;2,43;208.329,36;2,30;-0,32;-%;-;0,54;-2,43;Utilidade Pública;Energia Elétrica
RNEW4;2,35;435.411,84;2,22;-0,31;-%;-;0,54;-2,43;Utilidade Pública;Energia Elétrica
ROMI3;16,35;9.940.324,92;5,09;1,30;9,97%;0,45;2,38;2,06;Bens Industriais;Máquinas e Equipamentos
RPAD3;6,13;8.530,50;27,09;0,50;-%;-0,01;0,40;0,48;Financeiro e Outros;Intermediários Financeiros
RPAD5;8,90;15.094,71;39,33;0,72;6,15%;-0,01;0,40;0,48;Financeiro e Outros;Intermediários Financeiros
RPAD6;5,05;5.072,33;22,32;0,41;-%;-0,01;0,40;0,48;Financeiro e Outros;Intermediários Financeiros
RPMG3;2,90;212.030,68;-0,80;-0,06;-%;-;-6,10;-3,38;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
RRRP3;31,41;115.582.066,24;-31,53;3,49;-%;-0,32;-2,37;-;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
RSID3;8,63;978.911,08;0,88;-0,26;-%;-;0,87;-18,14;Consumo Cíclico;Construção Civil
RSUL3;0,00;-;0,00;0,00;-%;0,00;-9,79;29,68;Bens Industriais;Material de Transporte
RSUL4;68,07;367.309,42;8,08;5,89;-%;0,00;-9,79;29,68;Bens Industriais;Material de Transporte
SANB11;33,21;100 %;7,67;1,18;8,54%;-;3,58;4,38;Financeiro e Outros;Intermediários Financeiros
SANB3;15,58;584.710,88;7,19;1,11;8,67%;-;1,79;2,19;Financeiro e Outros;Intermediários Financeiros
SANB4;17,87;908.817,64;8,25;1,27;8,31%;-;1,79;2,19;Financeiro e Outros;Intermediários Financeiros
SAPR11;19,46;100 %;5,17;0,78;5,11%;0,39;3,30;10,72;Utilidade Pública;Água e Saneamento
SAPR3;3,85;1.850.754,60;5,12;0,77;4,78%;0,39;0,66;2,14;Utilidade Pública;Água e Saneamento
SAPR4;3,91;17.800.962,32;5,20;0,78;5,18%;0,39;0,66;2,14;Utilidade Pública;Água e Saneamento
SBSP3;37,99;81.580.557,96;10,10;1,06;1,05%;0,56;1,42;5,59;Utilidade Pública;Água e Saneamento
SCAR3;35,22;244.372,24;42,53;1,30;1,04%;0,72;1,51;1,50;Financeiro e Outros;Exploração de Imóveis
SEDU3;23,80;-;-13,36;15,00;-%;4,15;-1,78;-1,78;Consumo Cíclico;Diversos
SEER3;10,95;12.049.094,20;8,27;0,97;3,02%;0,05;1,28;1,06;Consumo Cíclico;Diversos
SEQL3;11,50;31.159.528,16;879,57;2,66;-%;0,78;0,06;-;Bens Industriais;Transporte
SGPS3;5,65;482.632,08;-2,39;0,28;-%;0,71;-6,42;0,23;Consumo Cíclico;Tecidos. Vestuário e Calçados
SHOW3;3,73;1.992.193,12;-2,50;1,63;-%;-0,42;-1,61;-1,05;Consumo Cíclico;Viagens e Lazer
SHUL3;111,89;62.944,50;99,99;23,64;0,21%;0,43;1,59;1,09;Bens Industriais;Máquinas e Equipamentos
SHUL4;8,87;2.311.707,72;7,93;1,87;2,87%;0,43;1,59;1,09;Bens Industriais;Máquinas e Equipamentos
SIMH3;11,15;28.013.080,64;13,16;2,66;0,77%;3,68;1,34;1,25;Financeiro e Outros;Holdings Diversificadas
SLCE3;38,81;52.130.165,32;7,03;2,08;2,74%;0,62;2,56;1,63;Consumo não Cíclico;Agropecuária
SLED3;0,66;162.207,96;-0,20;-0,08;-%;-;-6,62;-11,91;Consumo Cíclico;Comércio
SLED4;0,33;560.891,52;-0,10;-0,04;-%;-;-6,62;-11,91;Consumo Cíclico;Comércio
SMFT3;18,49;33.306.943,24;-17,29;2,40;-%;-0,01;-28,41;-18,94;Consumo Cíclico;Viagens e Lazer
SMLS3;22,40;25.865.505,33;10,78;4,09;17,98%;-0,10;1,58;5,05;Consumo Cíclico;Diversos
SMTO3;35,90;51.471.865,60;12,24;3,19;6,49%;1,16;2,62;1,76;Consumo não Cíclico;Alimentos Processados
SNSY3;10,00;10.930,58;-0,73;-0,05;-%;-;-18,12;-;Materiais Básicos;Materiais Diversos
SNSY5;5,39;17.374,52;-0,39;-0,03;-%;-;-18,12;-;Materiais Básicos;Materiais Diversos
SNSY6;13,33;-;-0,97;-0,07;-%;-;-18,12;-;Materiais Básicos;Materiais Diversos
SOMA3;13,91;73.394.033,84;37,04;1,52;-%;0,10;-0,15;-;Consumo Cíclico;Comércio
SOND3;40,20;4.020,00;14,33;1,63;19,26%;-0,43;8,58;1,78;Bens Industriais;Construção e Engenharia
SOND5;36,01;5.327,50;12,83;1,46;23,65%;-0,43;8,58;1,78;Bens Industriais;Construção e Engenharia
SOND6;35,51;14.303,00;12,65;1,44;23,99%;-0,43;8,58;1,78;Bens Industriais;Construção e Engenharia
SPRI3;21,72;-;-3,32;2,45;-%;-0,14;-6,54;-2,20;Financeiro e Outros;Holdings Diversificadas
SPRI5;8,52;-;-1,30;0,96;-%;-0,14;-6,54;-2,20;Financeiro e Outros;Holdings Diversificadas
SPRI6;11,00;-;-1,68;1,24;-%;-0,14;-6,54;-2,20;Financeiro e Outros;Holdings Diversificadas
SPRT3B;76,40;-;-477,85;-139,83;-%;-;-0,09;-0,28;Financeiro e Outros;Outros
SQIA3;16,81;15.076.387,76;126,87;1,85;0,12%;-0,47;0,07;-0,39;Tecnologia da Informação;Programas e Serviços
STBP3;6,08;39.328.459,48;30,46;2,32;-%;-0,32;-0,02;0,02;Bens Industriais;Transporte
STKF3;0,00;-;0,00;0,00;-%;0,14;0,27;0,32;Consumo Cíclico;Viagens e Lazer
STTR3;0,00;-;0,00;0,00;-%;-0,09;0,46;0,43;Bens Industriais;Máquinas e Equipamentos
SULA11;26,11;100 %;27,37;1,35;0,60%;-1,74;5,85;3,00;Financeiro e Outros;Previdência e Seguros
SULA3;9,06;122.133,08;28,49;1,40;0,58%;-1,74;1,95;1,00;Financeiro e Outros;Previdência e Seguros
SULA4;8,60;221.340,96;27,05;1,33;0,61%;-1,74;1,95;1,00;Financeiro e Outros;Previdência e Seguros
SUZB3;58,32;377.061.691,04;6,49;5,87;-%;4,32;-7,88;-2,07;Materiais Básicos;Madeira e Papel
TAEE11;35,90;100 %;4,72;1,79;12,98%;0,87;6,57;2,91;Utilidade Pública;Energia Elétrica
TAEE3;11,98;1.371.184,36;4,73;1,79;12,97%;0,87;2,19;0,97;Utilidade Pública;Energia Elétrica
TAEE4;11,95;2.711.585,56;4,71;1,78;13,00%;0,87;2,19;0,97;Utilidade Pública;Energia Elétrica
TASA3;23,49;977.922,56;3,89;4,57;-%;0,57;2,96;0,51;Bens Industriais;Máquinas e Equipamentos
TASA4;23,49;25.572.926,40;3,89;4,57;-%;0,57;2,96;0,51;Bens Industriais;Máquinas e Equipamentos
TCNO3;2,68;135.426,68;-90,99;62,25;-%;118,00;-0,11;-;Bens Industriais;Construção e Engenharia
TCNO4;1,79;214.432,00;-60,77;41,58;-%;118,00;-0,11;-;Bens Industriais;Construção e Engenharia
TCSA3;3,57;4.352.897,76;-1,68;0,40;-%;0,57;-2,24;-0,32;Consumo Cíclico;Construção Civil
TECN3;2,52;6.836.338,04;15,40;0,61;-%;0,07;-0,36;-1,56;Consumo Cíclico;Tecidos. Vestuário e Calçados
TEKA3;26,10;2.610,00;-0,11;-0,01;-%;-;-230,11;-;Consumo Cíclico;Tecidos. Vestuário e Calçados
TEKA4;10,59;42.862,32;-0,04;0,00;-%;-;-230,11;-;Consumo Cíclico;Tecidos. Vestuário e Calçados
TELB3;45,80;38.876,25;-21,63;2,15;-%;-0,50;-1,57;-4,79;Comunicações;Telecomunicações
TELB4;17,39;65.587,28;-8,21;0,82;-%;-0,50;-1,57;-4,79;Comunicações;Telecomunicações
TEND3;17,96;35.284.816,88;12,58;1,27;0,99%;0,20;1,92;2,53;Consumo Cíclico;Construção Civil
TESA3;48,00;1.340.759,40;-13,30;1,62;-%;1,01;-2,62;-7,52;Consumo não Cíclico;Agropecuária
TFCO4;12,00;2.512.510,52;180,84;46,38;0,76%;0,06;0,03;-;Consumo Cíclico;Comércio
TGMA3;15,69;6.654.465,96;9,64;1,55;5,01%;-0,03;1,12;2,94;Bens Industriais;Transporte
TIET11;12,54;100 %;4,38;2,25;0,87%;2,34;2,12;0,76;Utilidade Pública;Energia Elétrica
TIET3;3,49;558.793,42;6,09;3,13;0,63%;2,34;0,43;0,15;Utilidade Pública;Energia Elétrica
TIET4;3,51;1.764.454,32;6,13;3,15;0,62%;2,34;0,43;0,15;Utilidade Pública;Energia Elétrica
TIMS3;13,42;110.269.445,44;10,93;1,32;3,30%;0,16;0,76;1,38;Comunicações;Telecomunicações
TKNO3;69,63;-;3,49;0,85;2,66%;0,04;4,34;5,46;Materiais Básicos;Siderurgia e Metalurgia
TKNO4;60,00;11.199,67;3,01;0,74;3,47%;0,04;4,34;5,46;Materiais Básicos;Siderurgia e Metalurgia
TOTS3;31,38;140.508.190,88;56,24;4,62;0,89%;-0,21;0,51;1,27;Tecnologia da Informação;Programas e Serviços
TOYB3;2,29;-;-43,94;-4,97;-%;-;-0,05;-0,05;Consumo Cíclico;Viagens e Lazer
TOYB4;2,50;-;-47,96;-5,43;-%;-;-0,05;-0,05;Consumo Cíclico;Viagens e Lazer
TPIS3;2,04;5.648.838,04;1,23;0,39;2,02%;1,73;1,08;-1,09;Bens Industriais;Transporte
TRIS3;5,52;10.490.237,40;6,48;0,83;4,38%;0,16;0,91;0,96;Consumo Cíclico;Construção Civil
TRPL3;31,76;150.683,92;5,58;1,44;13,39%;0,36;5,10;2,68;Utilidade Pública;Energia Elétrica
TRPL4;24,11;33.310.677,16;4,23;1,09;17,64%;0,36;5,10;2,68;Utilidade Pública;Energia Elétrica
TUPY3;20,93;17.506.966,20;13,24;1,12;1,33%;0,37;-0,53;1,93;Bens Industriais;Material de Transporte
TXRX3;34,00;6.800,00;-24,41;-0,47;-%;-;-4,20;-;Consumo Cíclico;Tecidos. Vestuário e Calçados
TXRX4;8,40;10.728,86;-6,03;-0,12;-%;-;-4,20;-;Consumo Cíclico;Tecidos. Vestuário e Calçados
UCAS3;4,29;146.459,40;10,98;1,72;2,47%;-0,35;0,22;0,27;Consumo Cíclico;Utilidades Domésticas
UGPA3;14,89;128.207.766,24;18,52;1,70;4,30%;1,27;0,80;0,34;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
UNIP3;98,49;4.579.615,24;5,86;3,67;9,71%;-0,18;3,89;1,99;Materiais Básicos;Químicos
UNIP5;95,00;57.486,25;5,66;3,54;11,08%;-0,18;3,89;1,99;Materiais Básicos;Químicos
UNIP6;97,40;37.351.477,24;5,80;3,63;10,80%;-0,18;3,89;1,99;Materiais Básicos;Químicos
USIM3;14,01;5.782.007,04;2,14;0,87;8,00%;-0,06;0,54;0,17;Materiais Básicos;Siderurgia e Metalurgia
USIM5;14,92;330.589.987,76;2,27;0,93;8,26%;-0,06;0,54;0,17;Materiais Básicos;Siderurgia e Metalurgia
USIM6;18,97;1.897,00;2,89;1,18;6,50%;-0,06;0,54;0,17;Materiais Básicos;Siderurgia e Metalurgia
VALE3;76,33;2.079.665.786,80;4,09;2,16;19,19%;0,08;5,05;-1,26;Materiais Básicos;Mineração
VAMO3;11,89;38.339.398,92;34,37;4,26;1,65%;0,49;-;-;Bens Industriais;Máquinas e Equipamentos
VIVA3;25,00;24.103.351,44;22,32;4,40;0,63%;-0,13;0,62;1,23;Consumo Cíclico;Tecidos. Vestuário e Calçados
VIVR3;1,36;19.511.115,76;-2,45;-1,56;-%;-;-1,86;-4,76;Consumo Cíclico;Construção Civil
VIVT3;49,96;151.491.528,52;17,25;1,22;5,91%;0,06;2,82;2,96;Comunicações;Telecomunicações
VIVT4;45,34;-;15,65;1,11;-%;0,06;2,82;2,96;Comunicações;Telecomunicações
VLID3;8,43;4.858.348,84;-28,44;0,56;-%;0,72;-2,84;0,76;Bens Industriais;Serviços
VSPT3;4,99;-;-2,52;0,15;-%;-0,07;-0,83;-0,79;Bens Industriais;Transporte
VSPT4;0,00;-;0,00;0,00;-%;-0,07;-0,83;-0,79;Bens Industriais;Transporte
VULC3;9,96;9.719.495,68;8,52;1,92;3,51%;0,17;0,13;0,58;Consumo Cíclico;Tecidos. Vestuário e Calçados
VVAR3;11,31;453.915.553,63;927,09;1,63;-%;1,49;0,63;-1,11;Consumo Cíclico;Comércio
WEGE3;34,56;248.516.323,56;42,00;11,38;1,18%;-0,10;1,12;0,77;Bens Industriais;Máquinas e Equipamentos
WHRL3;6,58;54.696,44;9,08;3,94;12,65%;-0,46;0,47;1,18;Consumo Cíclico;Comércio
WHRL4;8,18;130.264,76;11,28;4,89;11,19%;-0,46;0,47;1,18;Consumo Cíclico;Comércio
WIZS3;8,10;22.357.557,80;7,10;3,31;7,52%;-0,78;1,22;1,34;Financeiro e Outros;Previdência e Seguros
WLMM3;35,00;14.624,00;13,64;2,40;1,63%;-0,30;1,49;1,37;Bens Industriais;Comércio
WLMM4;36,01;65.696,38;14,04;2,47;1,74%;-0,30;1,49;1,37;Bens Industriais;Comércio
WSON33;67,00;1.426.547,29;17,88;2,03;4,99%;1,12;1,57;1,62;Bens Industriais;Transporte
YDUQ3;23,69;71.055.710,96;56,38;2,19;1,98%;0,98;0,32;2,09;Consumo Cíclico;Diversos
